,DAILY_STRESS,FLOW,DAILY_SHOUTING,WEEKLY_MEDITATION,AGE,GENDER,WEIGHTED_SCORE
62,2,4,3,8,21 to 35,Male,85
63,1,4,0,7,21 to 35,Male,105
64,5,1,4,10,36 to 50,Female,59
65,3,4,7,8,21 to 35,Female,57
66,3,4,7,8,21 to 35,Female,57
67,1,2,1,10,21 to 35,Male,87
68,1,0,2,1,51 or more,Female,57
69,2,0,1,6,21 to 35,Female,69
70,3,3,0,10,21 to 35,Male,101
71,5,2,0,10,21 to 35,Female,94
72,4,0,10,0,36 to 50,Female,0
73,3,2,1,3,51 or more,Male,80
74,1,1,2,10,51 or more,Female,73
75,2,2,0,10,21 to 35,Female,94
76,2,2,6,6,36 to 50,Female,48
77,2,2,6,6,36 to 50,Female,48
78,3,4,1,7,21 to 35,Female,98
79,5,1,10,10,21 to 35,Male,17
80,1,2,1,10,Less than 20,Male,87
81,1,1,3,10,51 or more,Female,66
82,5,1,10,10,21 to 35,Male,17
83,4,2,5,4,21 to 35,Female,53
84,2,4,0,5,21 to 35,Female,103
85,2,2,0,5,51 or more,Female,89
86,4,5,0,7,51 or more,Female,112
87,4,1,1,4,36 to 50,Female,74
88,0,4,1,10,36 to 50,Female,101
89,0,4,1,10,36 to 50,Female,101
90,4,1,9,10,36 to 50,Female,24
91,4,1,10,10,21 to 35,Female,17
92,3,5,0,10,21 to 35,Female,115
93,4,0,7,10,21 to 35,Male,31
94,2,1,2,7,36 to 50,Male,70
95,3,3,1,7,36 to 50,Male,91
96,5,0,6,1,36 to 50,Female,29
97,5,2,3,1,21 to 35,Female,64
98,3,6,1,3,21 to 35,Female,108
99,3,4,2,3,21 to 35,Female,87
100,3,3,1,4,51 or more,Female,88
101,3,3,6,6,36 to 50,Female,55
102,4,0,5,3,21 to 35,Male,38
103,4,1,3,6,21 to 35,Female,62
104,2,3,2,9,21 to 35,Male,86
105,2,1,6,7,36 to 50,Female,42
106,3,2,1,2,21 to 35,Female,79
107,4,1,7,3,21 to 35,Female,31
108,2,3,1,7,21 to 35,Male,91
109,2,0,3,7,51 or more,Female,56
110,2,4,2,2,36 to 50,Female,86
111,2,3,0,6,21 to 35,Male,97
112,3,1,0,7,21 to 35,Female,84
113,2,2,3,8,51 or more,Female,71
114,2,7,3,10,Less than 20,Female,108
115,2,7,3,10,Less than 20,Female,108
116,5,1,4,10,21 to 35,Female,59
117,5,2,10,10,51 or more,Female,24
118,1,2,3,4,21 to 35,Male,67
119,2,1,3,4,21 to 35,Female,60
120,2,1,3,4,21 to 35,Female,60
121,2,3,5,10,21 to 35,Male,66
122,3,3,6,3,21 to 35,Female,52
123,2,2,3,10,36 to 50,Female,73
124,4,2,0,8,36 to 50,Male,92
125,5,1,8,10,36 to 50,Female,31
126,3,2,3,7,21 to 35,Female,70
127,4,4,3,5,Less than 20,Male,82
128,4,0,5,8,21 to 35,Male,43
129,3,2,0,10,21 to 35,Male,94
130,0,1,0,10,36 to 50,Female,87
131,2,1,0,4,36 to 50,Female,81
132,3,3,10,8,36 to 50,Female,29
133,4,2,2,5,21 to 35,Male,75
134,3,1,5,1,36 to 50,Male,43
135,2,3,7,8,21 to 35,Female,50
136,3,4,1,5,51 or more,Female,96
137,1,4,1,4,Less than 20,Female,95
138,4,1,8,4,21 to 35,Female,25
139,4,1,4,5,51 or more,Female,54
140,4,1,7,3,Less than 20,Female,31
141,1,6,1,7,Less than 20,Male,112
142,2,5,3,5,36 to 50,Male,89
143,1,8,1,7,Less than 20,Male,126
144,0,7,0,5,Less than 20,Male,124
145,2,1,1,4,51 or more,Female,74
146,3,5,3,10,51 or more,Female,94
147,3,2,9,7,51 or more,Female,28
148,2,0,2,1,21 to 35,Male,57
149,5,1,10,3,36 to 50,Female,10
150,4,4,2,7,36 to 50,Female,91
151,2,2,3,6,36 to 50,Female,69
152,5,5,3,5,36 to 50,Female,89
153,4,4,0,0,36 to 50,Female,98
154,3,2,3,10,36 to 50,Male,73
155,3,6,1,10,21 to 35,Male,115
156,1,6,0,10,36 to 50,Female,122
157,5,4,2,7,36 to 50,Female,91
158,3,1,1,6,36 to 50,Female,76
159,5,4,8,3,Less than 20,Female,45
160,3,2,3,5,21 to 35,Female,68
161,3,0,3,1,36 to 50,Female,50
162,3,2,0,7,51 or more,Female,91
163,2,10,2,3,51 or more,Male,129
164,2,10,2,3,51 or more,Male,129
165,5,6,1,1,51 or more,Female,106
166,1,2,3,4,21 to 35,Male,67
167,3,7,1,7,51 or more,Female,119
168,2,2,1,7,51 or more,Female,84
169,3,0,4,10,21 to 35,Male,52
170,3,9,4,5,51 or more,Female,110
171,2,3,4,4,21 to 35,Female,67
172,3,1,4,6,21 to 35,Female,55
173,4,5,1,5,51 or more,Male,103
174,4,1,5,3,21 to 35,Female,45
175,4,2,2,2,21 to 35,Male,72
176,3,5,1,8,21 to 35,Male,106
177,3,5,2,7,51 or more,Female,98
178,1,2,10,10,51 or more,Male,24
179,1,3,3,7,Less than 20,Male,77
180,1,3,3,7,Less than 20,Male,77
181,2,5,0,7,36 to 50,Female,112
182,3,2,2,3,51 or more,Female,73
183,1,3,2,9,21 to 35,Female,86
184,1,1,4,1,21 to 35,Male,50
185,4,3,1,10,51 or more,Female,94
186,2,2,4,8,21 to 35,Female,64
187,2,6,1,10,51 or more,Female,115
188,1,6,0,10,51 or more,Female,122
189,2,1,1,10,51 or more,Female,80
190,4,1,7,0,21 to 35,Female,28
191,2,5,3,9,51 or more,Female,93
192,3,3,1,10,21 to 35,Female,94
193,2,6,2,8,51 or more,Male,106
194,3,7,3,7,Less than 20,Female,105
195,2,5,5,4,36 to 50,Female,74
196,3,2,5,10,21 to 35,Female,59
197,5,0,4,3,21 to 35,Female,45
198,4,3,1,9,21 to 35,Male,93
199,4,0,6,3,21 to 35,Female,31
200,4,2,8,10,36 to 50,Male,38
201,4,2,5,2,36 to 50,Male,51
202,1,8,2,10,21 to 35,Male,122
203,4,4,10,7,36 to 50,Female,35
204,4,1,3,10,Less than 20,Female,66
205,4,0,6,3,21 to 35,Female,31
206,4,3,7,8,36 to 50,Male,50
207,4,7,2,9,51 or more,Female,114
208,1,2,1,10,36 to 50,Male,87
209,1,2,1,10,36 to 50,Male,87
210,4,1,3,2,51 or more,Male,58
211,1,7,2,10,21 to 35,Male,115
212,1,7,2,10,21 to 35,Male,115
213,4,2,0,3,36 to 50,Female,87
214,1,6,1,10,21 to 35,Female,115
215,4,2,1,8,21 to 35,Female,85
216,0,6,1,10,21 to 35,Male,115
217,1,10,1,10,51 or more,Female,143
218,1,10,0,10,21 to 35,Male,150
219,4,7,3,3,36 to 50,Female,101
220,5,3,5,5,51 or more,Female,61
221,2,6,1,10,36 to 50,Male,115
222,5,4,3,7,36 to 50,Male,84
223,5,4,3,7,36 to 50,Male,84
224,3,0,1,1,21 to 35,Male,64
225,0,0,10,10,51 or more,Male,10
226,2,2,10,3,36 to 50,Female,17
227,2,2,10,3,36 to 50,Female,17
228,1,2,1,4,21 to 35,Female,81
229,5,3,7,5,21 to 35,Female,47
230,2,5,2,10,36 to 50,Female,101
231,1,8,1,10,36 to 50,Female,129
232,3,6,2,10,36 to 50,Female,108
233,0,6,1,10,51 or more,Female,115
234,4,4,0,5,36 to 50,Male,103
235,2,1,6,4,36 to 50,Female,39
236,4,0,2,1,21 to 35,Male,57
237,5,5,0,1,51 or more,Female,106
238,3,1,7,5,36 to 50,Female,33
239,1,3,2,7,21 to 35,Female,84
240,2,4,1,8,21 to 35,Male,99
241,2,4,1,10,21 to 35,Female,101
242,3,4,2,7,36 to 50,Female,91
243,5,2,0,3,51 or more,Male,87
244,3,3,3,2,36 to 50,Female,72
245,2,1,5,4,21 to 35,Male,46
246,1,5,1,5,21 to 35,Male,103
247,3,0,1,7,51 or more,Female,70
248,3,3,10,8,36 to 50,Female,29
249,4,5,3,3,51 or more,Female,87
250,2,2,0,10,Less than 20,Male,94
251,3,10,3,4,36 to 50,Female,123
252,4,1,10,5,21 to 35,Male,12
253,3,6,2,10,36 to 50,Male,108
254,3,8,4,2,51 or more,Male,100
255,4,2,1,2,21 to 35,Male,79
256,5,6,1,10,21 to 35,Female,115
257,1,2,2,10,36 to 50,Female,80
258,2,1,1,5,21 to 35,Female,75
259,2,2,1,7,51 or more,Male,84
260,2,4,1,7,36 to 50,Female,98
261,1,5,5,3,51 or more,Female,73
262,4,1,5,5,51 or more,Male,47
263,1,2,1,7,51 or more,Male,84
264,1,6,0,5,21 to 35,Female,117
265,4,2,10,9,Less than 20,Female,23
266,4,0,10,5,Less than 20,Female,5
267,1,3,2,10,21 to 35,Male,87
268,3,0,7,3,21 to 35,Female,24
269,1,6,0,7,51 or more,Female,119
270,2,10,1,10,36 to 50,Female,143
271,3,2,2,3,36 to 50,Female,73
272,5,5,2,3,21 to 35,Female,94
273,2,10,1,10,51 or more,Female,143
274,2,1,4,10,51 or more,Female,59
275,5,1,0,10,21 to 35,Male,87
276,4,1,4,3,21 to 35,Male,52
277,2,0,7,10,36 to 50,Female,31
278,2,0,1,7,36 to 50,Female,70
279,1,7,5,6,36 to 50,Female,90
280,3,1,2,10,21 to 35,Female,73
281,1,9,1,5,36 to 50,Male,131
282,4,1,2,3,51 or more,Female,66
283,3,2,0,7,21 to 35,Female,91
284,0,1,1,7,51 or more,Male,77
285,3,2,5,8,36 to 50,Male,57
286,4,4,1,1,51 or more,Female,92
287,5,3,4,10,36 to 50,Male,73
288,4,1,1,5,51 or more,Male,75
289,3,0,4,1,36 to 50,Female,43
290,2,3,0,10,51 or more,Female,101
291,2,4,2,10,Less than 20,Female,94
292,2,8,10,10,Less than 20,Male,66
293,5,1,8,2,21 to 35,Female,23
294,4,3,4,10,21 to 35,Female,73
295,1,7,3,2,Less than 20,Female,100
296,1,5,1,10,36 to 50,Female,108
297,3,3,1,7,36 to 50,Female,91
298,5,3,9,4,21 to 35,Female,32
299,3,0,7,10,21 to 35,Male,31
300,5,1,10,7,21 to 35,Male,14
301,1,4,0,10,36 to 50,Male,108
302,2,2,7,10,21 to 35,Female,45
303,3,5,1,3,21 to 35,Male,101
304,2,3,5,10,36 to 50,Male,66
305,5,1,7,2,21 to 35,Female,30
306,4,3,2,7,36 to 50,Male,84
307,1,2,0,4,21 to 35,Male,88
308,3,2,1,6,36 to 50,Female,83
309,2,3,0,10,51 or more,Female,101
310,3,4,3,3,21 to 35,Female,80
311,0,2,1,5,36 to 50,Male,82
312,3,4,3,10,51 or more,Female,87
313,2,2,0,10,51 or more,Male,94
314,5,5,5,5,36 to 50,Male,75
315,3,5,5,6,51 or more,Female,76
316,3,1,1,7,21 to 35,Female,77
317,1,1,0,4,51 or more,Female,81
318,3,2,1,6,36 to 50,Female,83
319,1,1,0,6,21 to 35,Male,83
320,4,2,0,5,36 to 50,Male,89
321,2,8,1,7,36 to 50,Female,126
322,3,1,10,5,36 to 50,Female,12
323,3,2,2,2,36 to 50,Male,72
324,2,1,1,7,21 to 35,Female,77
325,4,1,5,10,36 to 50,Female,52
326,3,7,7,3,36 to 50,Male,73
327,4,0,4,0,36 to 50,Female,42
328,5,2,1,3,36 to 50,Female,80
329,4,2,4,3,36 to 50,Male,59
330,2,2,1,7,36 to 50,Female,84
331,3,2,4,6,36 to 50,Male,62
332,2,3,4,3,51 or more,Male,66
333,1,6,4,7,36 to 50,Female,91
334,1,0,0,6,51 or more,Male,76
335,3,2,1,6,36 to 50,Female,83
336,1,1,0,5,51 or more,Male,82
337,3,7,7,10,36 to 50,Female,80
338,3,1,2,10,21 to 35,Male,73
339,3,5,2,4,Less than 20,Female,95
340,5,4,1,3,36 to 50,Female,94
341,2,1,3,1,36 to 50,Female,57
342,5,2,3,3,21 to 35,Female,66
343,2,8,3,9,21 to 35,Female,114
344,1,6,0,3,51 or more,Female,115
345,3,4,1,7,36 to 50,Female,98
346,4,2,6,10,21 to 35,Female,52
347,2,3,2,4,21 to 35,Male,81
348,1,0,1,10,21 to 35,Male,73
349,4,3,0,4,21 to 35,Female,95
350,0,5,0,10,21 to 35,Male,115
351,2,4,4,5,21 to 35,Male,75
352,0,5,1,5,36 to 50,Female,103
353,1,3,2,4,21 to 35,Female,81
354,4,1,10,5,36 to 50,Female,12
355,3,1,1,10,21 to 35,Male,80
356,3,2,2,7,21 to 35,Male,77
357,4,1,1,7,36 to 50,Male,77
358,2,1,4,2,36 to 50,Male,51
359,4,1,4,10,51 or more,Female,59
360,4,1,10,3,36 to 50,Male,10
361,2,1,3,6,36 to 50,Male,62
362,1,0,0,5,36 to 50,Female,75
363,2,1,5,5,36 to 50,Female,47
364,2,2,5,7,21 to 35,Male,56
365,3,1,7,7,51 or more,Female,35
366,2,2,5,7,21 to 35,Male,56
367,2,3,0,3,51 or more,Female,94
368,2,1,2,6,21 to 35,Female,69
369,1,1,4,10,21 to 35,Male,59
370,3,5,5,7,51 or more,Female,77
371,3,8,4,10,Less than 20,Female,108
372,2,7,2,9,36 to 50,Male,114
373,2,5,5,3,36 to 50,Male,73
374,3,3,0,7,21 to 35,Male,98
375,1,5,2,7,21 to 35,Female,98
376,4,1,1,4,21 to 35,Female,74
377,2,2,3,10,21 to 35,Male,73
378,2,2,3,10,21 to 35,Male,73
379,3,4,3,7,36 to 50,Male,84
380,2,6,2,10,21 to 35,Male,108
381,5,3,2,10,Less than 20,Male,87
382,3,2,0,10,36 to 50,Female,94
383,3,1,1,10,21 to 35,Female,80
384,5,4,3,4,36 to 50,Male,81
385,2,1,3,10,36 to 50,Male,66
386,2,1,3,10,36 to 50,Male,66
387,2,2,3,10,21 to 35,Female,73
388,2,2,0,10,21 to 35,Female,94
389,4,5,1,8,36 to 50,Female,106
390,3,0,7,5,21 to 35,Female,26
391,3,2,10,7,21 to 35,Male,21
392,1,7,0,7,51 or more,Female,126
393,4,1,1,5,21 to 35,Female,75
394,0,3,0,10,51 or more,Male,101
395,2,2,7,2,36 to 50,Male,37
396,4,1,1,10,36 to 50,Male,80
397,4,1,1,10,36 to 50,Male,80
398,4,5,2,7,51 or more,Female,98
399,3,2,5,7,36 to 50,Female,56
400,3,2,5,7,36 to 50,Female,56
401,4,0,1,7,51 or more,Female,70
402,2,5,0,10,51 or more,Female,115
403,2,0,10,5,36 to 50,Female,5
404,3,2,1,3,21 to 35,Female,80
405,3,2,0,2,21 to 35,Female,86
406,2,5,0,8,51 or more,Male,113
407,1,2,0,10,51 or more,Female,94
408,2,1,1,5,51 or more,Male,75
409,2,1,1,9,51 or more,Female,79
410,2,4,0,7,21 to 35,Female,105
411,4,4,7,6,36 to 50,Male,55
412,3,5,2,5,36 to 50,Male,96
413,1,2,0,8,51 or more,Female,92
414,5,3,2,10,21 to 35,Female,87
415,5,2,3,10,21 to 35,Female,73
416,1,2,1,10,21 to 35,Female,87
417,1,8,0,10,51 or more,Female,136
418,1,4,0,10,51 or more,Female,108
419,0,6,0,10,51 or more,Female,122
420,1,8,0,10,51 or more,Female,136
421,1,5,0,6,36 to 50,Male,111
422,4,1,1,2,36 to 50,Female,72
423,1,3,0,7,51 or more,Female,98
424,4,1,4,10,51 or more,Male,59
425,3,3,7,8,36 to 50,Male,50
426,1,3,4,2,36 to 50,Female,65
427,4,2,0,10,21 to 35,Male,94
428,2,3,1,10,51 or more,Male,94
429,2,3,1,10,51 or more,Male,94
430,1,1,2,5,21 to 35,Female,68
431,1,1,2,4,21 to 35,Female,67
432,3,1,3,10,51 or more,Female,66
433,1,2,0,7,36 to 50,Male,91
434,1,4,0,5,Less than 20,Male,103
435,2,2,1,4,36 to 50,Male,81
436,0,7,3,10,Less than 20,Male,108
437,3,2,10,7,21 to 35,Male,21
438,5,1,4,3,21 to 35,Male,52
439,1,10,2,10,51 or more,Female,136
440,2,1,4,10,51 or more,Male,59
441,4,6,3,7,Less than 20,Female,98
442,2,3,1,10,51 or more,Male,94
443,2,3,1,10,51 or more,Male,94
444,2,1,0,7,51 or more,Female,84
445,3,1,2,10,36 to 50,Female,73
446,1,2,1,9,36 to 50,Female,86
447,2,3,1,10,51 or more,Male,94
448,4,2,5,7,51 or more,Female,56
449,2,3,1,10,51 or more,Male,94
450,2,1,1,10,36 to 50,Male,80
451,3,2,0,3,36 to 50,Female,87
452,4,4,10,0,36 to 50,Female,28
453,4,1,1,7,51 or more,Male,77
454,0,3,0,5,21 to 35,Female,96
455,3,1,1,10,Less than 20,Female,80
456,1,0,7,4,Less than 20,Female,25
457,2,8,1,10,21 to 35,Female,129
458,5,1,10,1,21 to 35,Male,8
459,3,1,2,3,51 or more,Female,66
460,2,7,1,5,36 to 50,Female,117
461,1,2,1,7,36 to 50,Female,84
462,5,5,5,9,21 to 35,Female,79
463,5,2,8,2,36 to 50,Female,30
464,1,0,2,4,51 or more,Male,60
465,3,3,1,10,21 to 35,Male,94
466,1,1,0,10,36 to 50,Male,87
467,2,3,1,8,36 to 50,Female,92
468,3,5,0,2,36 to 50,Male,107
469,2,1,1,6,21 to 35,Male,76
470,4,0,8,0,36 to 50,Female,14
471,1,3,1,8,36 to 50,Female,92
472,0,1,0,8,Less than 20,Male,85
473,3,3,1,3,21 to 35,Male,87
474,3,2,4,4,36 to 50,Female,60
475,2,10,1,9,Less than 20,Male,142
476,5,1,7,2,21 to 35,Female,30
477,2,10,3,10,36 to 50,Female,129
478,2,6,1,3,36 to 50,Male,108
479,1,2,1,10,51 or more,Female,87
480,4,1,3,4,51 or more,Male,60
481,2,2,2,3,21 to 35,Female,73
482,3,2,2,6,36 to 50,Male,76
483,3,3,2,1,36 to 50,Male,78
484,2,1,6,2,Less than 20,Female,37
485,2,0,1,3,36 to 50,Female,66
486,3,2,1,6,36 to 50,Female,83
487,3,2,1,6,36 to 50,Female,83
488,2,1,1,3,21 to 35,Female,73
489,2,2,1,7,21 to 35,Male,84
490,3,1,10,10,36 to 50,Male,17
491,4,2,6,5,36 to 50,Male,47
492,4,2,6,5,36 to 50,Male,47
493,4,2,6,5,36 to 50,Male,47
494,0,2,2,9,51 or more,Male,79
495,2,6,3,4,21 to 35,Female,95
496,0,0,0,1,Less than 20,Male,71
497,3,5,1,9,36 to 50,Female,107
498,2,4,2,10,36 to 50,Female,94
499,2,3,1,10,51 or more,Female,94
500,1,7,0,10,51 or more,Female,129
501,3,2,0,1,36 to 50,Male,85
502,1,5,1,1,51 or more,Male,99
503,2,1,9,4,36 to 50,Female,18
504,3,1,1,10,51 or more,Female,80
505,3,1,3,10,51 or more,Female,66
506,3,1,2,10,36 to 50,Female,73
507,2,1,5,5,Less than 20,Male,47
508,0,0,0,10,21 to 35,Male,80
509,1,8,1,5,21 to 35,Male,124
510,3,0,10,10,21 to 35,Male,10
511,3,1,2,8,21 to 35,Male,71
512,4,1,5,6,21 to 35,Female,48
513,1,0,1,7,21 to 35,Male,70
514,2,3,5,10,36 to 50,Male,66
515,5,7,3,3,Less than 20,Female,101
516,3,2,0,5,36 to 50,Male,89
517,2,3,2,8,21 to 35,Female,85
518,1,10,3,10,Less than 20,Male,129
519,4,3,3,4,21 to 35,Male,74
520,1,7,1,10,Less than 20,Male,122
521,1,7,1,10,Less than 20,Male,122
522,5,4,5,3,21 to 35,Male,66
523,4,2,10,8,Less than 20,Male,22
524,2,5,2,10,Less than 20,Female,101
525,3,1,4,4,36 to 50,Female,53
526,3,4,10,7,36 to 50,Male,35
527,2,1,7,5,21 to 35,Female,33
528,5,10,2,10,Less than 20,Male,136
529,3,3,1,6,51 or more,Male,90
530,3,0,3,7,36 to 50,Female,56
531,2,5,4,6,Less than 20,Male,83
532,3,2,1,10,51 or more,Male,87
533,3,6,7,2,21 to 35,Male,65
534,2,3,3,10,51 or more,Female,80
535,0,10,0,10,36 to 50,Male,150
536,1,7,0,6,21 to 35,Male,125
537,1,7,0,5,51 or more,Female,124
538,2,2,2,2,21 to 35,Male,72
539,1,6,0,10,51 or more,Female,122
540,4,3,7,4,21 to 35,Male,46
541,1,5,7,10,36 to 50,Female,66
542,3,6,1,7,36 to 50,Male,112
543,0,0,0,10,21 to 35,Male,80
544,2,1,2,1,21 to 35,Male,64
545,3,5,1,5,36 to 50,Female,103
546,1,4,1,5,36 to 50,Female,96
547,3,2,1,3,36 to 50,Female,80
548,0,0,0,10,Less than 20,Male,80
549,4,3,1,2,36 to 50,Female,86
550,1,2,0,3,Less than 20,Female,87
551,2,3,5,4,36 to 50,Female,60
552,2,2,4,5,36 to 50,Female,61
553,1,6,1,10,51 or more,Female,115
554,3,1,1,10,51 or more,Female,80
555,4,1,3,10,36 to 50,Male,66
556,4,3,0,7,21 to 35,Male,98
557,2,2,2,5,51 or more,Female,75
558,5,1,10,10,51 or more,Male,17
559,3,3,4,10,36 to 50,Female,73
560,3,2,3,7,36 to 50,Female,70
561,3,2,4,7,51 or more,Female,63
562,3,3,1,10,36 to 50,Female,94
563,5,0,10,5,21 to 35,Female,5
564,4,0,4,3,36 to 50,Female,45
565,4,1,2,10,36 to 50,Male,73
566,3,2,0,8,21 to 35,Female,92
567,3,1,2,10,21 to 35,Male,73
568,2,0,4,10,21 to 35,Female,52
569,3,1,1,7,36 to 50,Male,77
570,1,1,2,2,21 to 35,Male,65
571,4,1,4,10,36 to 50,Male,59
572,1,3,1,4,Less than 20,Male,88
573,1,10,2,5,Less than 20,Male,131
574,0,4,1,10,51 or more,Female,101
575,2,5,3,5,21 to 35,Female,89
576,0,3,1,2,21 to 35,Female,86
577,0,3,1,2,21 to 35,Female,86
578,3,6,3,9,21 to 35,Female,100
579,1,4,2,5,21 to 35,Female,89
580,4,2,0,3,36 to 50,Female,87
581,3,2,1,1,51 or more,Female,78
582,1,2,3,5,21 to 35,Female,68
583,2,3,3,3,21 to 35,Female,73
584,0,3,0,6,51 or more,Female,97
585,5,6,3,9,21 to 35,Male,100
586,1,3,0,7,51 or more,Male,98
587,3,0,10,7,21 to 35,Female,7
588,1,1,1,8,21 to 35,Male,78
589,4,6,0,3,21 to 35,Male,115
590,3,3,1,10,36 to 50,Female,94
591,0,6,1,10,Less than 20,Male,115
592,5,5,1,5,21 to 35,Female,103
593,4,3,2,2,21 to 35,Female,79
594,3,2,4,5,51 or more,Female,61
595,3,4,2,3,51 or more,Female,87
596,2,5,0,10,Less than 20,Male,115
597,2,4,4,10,21 to 35,Female,80
598,2,6,3,9,21 to 35,Female,100
599,2,5,0,10,Less than 20,Male,115
600,4,2,2,10,21 to 35,Male,80
601,3,3,2,5,21 to 35,Female,82
602,2,6,5,4,Less than 20,Female,81
603,3,2,0,10,36 to 50,Male,94
604,0,5,3,8,36 to 50,Female,92
605,4,3,2,4,51 or more,Male,81
606,4,0,2,8,21 to 35,Female,64
607,5,3,3,10,21 to 35,Male,80
608,5,3,3,10,21 to 35,Male,80
609,5,0,1,7,21 to 35,Female,70
610,5,5,1,4,21 to 35,Female,102
611,1,3,5,2,36 to 50,Female,58
612,3,5,7,3,Less than 20,Male,59
613,2,1,0,9,Less than 20,Female,86
614,3,2,3,10,Less than 20,Female,73
615,2,4,6,10,Less than 20,Male,66
616,2,1,7,10,Less than 20,Female,38
617,5,1,5,5,Less than 20,Female,47
618,2,0,3,4,Less than 20,Female,53
619,2,2,2,4,Less than 20,Female,74
620,2,2,2,4,Less than 20,Female,74
621,3,2,3,10,Less than 20,Female,73
622,2,1,3,9,Less than 20,Female,65
623,4,1,1,3,Less than 20,Female,73
624,4,1,1,3,Less than 20,Female,73
625,4,1,1,3,Less than 20,Female,73
626,1,4,6,5,Less than 20,Female,61
627,3,2,2,4,Less than 20,Female,74
628,3,3,4,7,Less than 20,Female,70
629,2,2,2,4,Less than 20,Female,74
630,2,1,2,10,36 to 50,Female,73
631,3,2,4,10,36 to 50,Female,66
632,1,1,1,1,21 to 35,Male,71
633,0,1,2,10,Less than 20,Male,73
634,5,1,5,5,Less than 20,Female,47
635,4,6,4,4,21 to 35,Female,88
636,1,3,1,10,Less than 20,Female,94
637,2,3,4,9,Less than 20,Female,72
638,4,0,3,3,Less than 20,Female,52
639,4,5,2,5,Less than 20,Female,96
640,3,4,2,4,Less than 20,Female,88
641,5,3,2,1,Less than 20,Female,78
642,2,1,1,7,Less than 20,Female,77
643,3,0,4,4,Less than 20,Female,46
644,2,2,5,4,Less than 20,Female,53
645,2,4,2,8,Less than 20,Male,92
646,1,2,1,5,Less than 20,Female,82
647,3,1,2,3,Less than 20,Female,66
648,3,0,4,5,Less than 20,Female,47
649,4,1,4,6,Less than 20,Female,55
650,3,0,1,5,Less than 20,Female,68
651,3,0,10,10,Less than 20,Female,10
652,4,1,10,2,Less than 20,Female,9
653,3,0,4,4,Less than 20,Female,46
654,2,4,3,3,51 or more,Female,80
655,2,4,5,5,Less than 20,Male,68
656,2,6,1,9,Less than 20,Female,114
657,3,3,3,10,36 to 50,Female,80
658,5,5,1,4,21 to 35,Female,102
659,2,2,3,10,36 to 50,Male,73
660,1,6,5,4,21 to 35,Male,81
661,5,5,1,4,21 to 35,Female,102
662,5,1,1,10,36 to 50,Male,80
663,3,1,1,5,36 to 50,Female,75
664,3,5,3,6,Less than 20,Male,90
665,1,2,3,10,51 or more,Male,73
666,5,1,5,7,36 to 50,Male,49
